DRIVER,14:00 - 14:50,14:50 - 15:45,15:45 - 16:40,16:40 - 17:35,17:35 - 18:30,18:30 - 19:25,19:25 - 20:20,20:20 - 21:15,21:15 - 22:10,22:10 - 23:05,23:05 - 00:00,00:00 - 00:55,00:55 - 01:50,01:50 - 02:45,02:45 - 03:40,03:40 - 04:35,04:35 - 05:30,05:30 - 06:25,06:25 - 07:20,07:20 - 08:15,08:15 - 09:10,09:10 - 10:05,10:05 - 11:00,11:00 - 11:55,11:55 - 12:50,12:50 - 13:45,13:45 - 15:00
Brian,X,X,X,,,,,,,,,,,,,X,X,,,,,,,,,,
Duncan,,,,,,X,X,X,,,,,,,,,,,,,,,X,X,,,
Riley,,,,X,X,,,,,,,,,,,,,,,,,,,,X,X,
Robin,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,X
Stijn,,,,,,,,,X,X,,,,,,,,X,X,X,,,,,,,
Tim,,,,,,,,,,,X,X,,,,,,,,,X,X,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPOTTER,14:00 - 14:50,14:50 - 15:45,15:45 - 16:40,16:40 - 17:35,17:35 - 18:30,18:30 - 19:25,19:25 - 20:20,20:20 - 21:15,21:15 - 22:10,22:10 - 23:05,23:05 - 00:00,00:00 - 00:55,00:55 - 01:50,01:50 - 02:45,02:45 - 03:40,03:40 - 04:35,04:35 - 05:30,05:30 - 06:25,06:25 - 07:20,07:20 - 08:15,08:15 - 09:10,09:10 - 10:05,10:05 - 11:00,11:00 - 11:55,11:55 - 12:50,12:50 - 13:45,13:45 - 15:00
Brian,,,,,,,,,,,,,,X,X,,,,X,X,X,,,,,,X
Duncan,,,,,,,,,,X,X,,,,,,,,,,,,,,,X,
Riley,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Robin,X,X,X,,,,,,,,,X,,,,X,X,X,,,,,,,,,
Stijn,,,,X,X,X,,,,,,,,,,,,,,,,X,X,,,,
Tim,,,,,,,,X,X,,,,X,,,,,,,,,,,X,X,,
